Tipo,Producto,Fecha de inicio,Fecha de finalización,Descripción,Importe,Comisión,Divisa,State,SaSldo
Pago con tarjeta,Actual,2025-11-18 07:21:14,2025-11-19 06:30:54,Delikia,-0.60,0.00,EUR,COMPLETADO,110.92
Pago con tarjeta,Actual,2025-11-18 18:32:43,2025-11-19 11:16:42,Kraken,-50.00,0.00,EUR,COMPLETADO,60.92
Cambio,Actual,2025-11-22 00:02:21,2025-11-22 00:02:21,Transfer to Revolut Digital Assets Europe Ltd,-1.40,0.00,EUR,COMPLETADO,59.52
Pago con tarjeta,Actual,2025-11-22 00:02:20,2025-11-23 04:09:28,Restaurante Burmet,-19.65,0.00,EUR,COMPLETADO,39.87
Cambio,Actual,2025-11-25 14:02:42,2025-11-25 14:02:42,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,35.87
Pago con tarjeta,Actual,2025-11-25 14:02:41,2025-11-26 03:56:40,Restaurante La Venta,-12.00,0.00,EUR,COMPLETADO,23.87
Cambio,Actual,2025-11-26 19:46:28,2025-11-26 19:46:28,Transfer to Revolut Digital Assets Europe Ltd,-3.20,0.00,EUR,COMPLETADO,20.67
Recargas,Actual,2025-11-27 03:04:04,2025-11-27 03:09:27,"Pago de INDRA SISTEMAS, S.A.",1894.99,0.00,EUR,COMPLETADO,1915.66
Transferir,Actual,2025-11-27 08:29:47,2025-11-27 08:29:47,Transferencia a un cliente de Revolut,-250.00,0.00,EUR,COMPLETADO,1665.66
Pago con tarjeta,Actual,2025-11-26 19:46:27,2025-11-27 12:01:58,Pastelería Marimer,-5.20,0.00,EUR,COMPLETADO,1660.46
Cambio,Actual,2025-11-27 20:18:56,2025-11-27 20:18:56,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,1656.46
Pago con tarjeta,Actual,2025-11-27 20:18:54,2025-11-28 06:43:40,Petroprix,-60.25,0.00,EUR,COMPLETADO,1596.21
Cambio,Actual,2025-11-29 00:32:13,2025-11-29 00:32:13,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,1592.21
Cambio,Actual,2025-11-29 02:02:42,2025-11-29 02:02:42,Transfer to Revolut Digital Assets Europe Ltd,-0.36,0.00,EUR,COMPLETADO,1591.85
Cambio,Actual,2025-11-29 21:32:19,2025-11-29 21:32:19,Transfer to Revolut Digital Assets Europe Ltd,-2.08,0.00,EUR,COMPLETADO,1589.77
Pago con tarjeta,Actual,2025-11-29 00:32:12,2025-11-30 03:46:36,Furancho Garelos,-42.00,0.00,EUR,COMPLETADO,1547.77
Pago con tarjeta,Actual,2025-11-29 21:32:18,2025-11-30 06:26:55,Carrefour market,-22.48,0.00,EUR,COMPLETADO,1525.29
Pago con tarjeta,Actual,2025-11-29 02:02:42,2025-11-30 10:13:08,Uber,-19.91,0.00,EUR,COMPLETADO,1505.38
Cambio,Actual,2025-11-30 12:46:43,2025-11-30 12:46:43,Transfer to Revolut Digital Assets Europe Ltd,-2.00,0.00,EUR,COMPLETADO,1503.38
Cambio,Actual,2025-11-30 21:19:37,2025-11-30 21:19:37,Transfer to Revolut Digital Assets Europe Ltd,-1.36,0.00,EUR,COMPLETADO,1502.02
Pago con tarjeta,Actual,2025-11-30 12:46:41,2025-12-01 03:31:55,Primor,-67.50,0.00,EUR,COMPLETADO,1434.52
Pago con tarjeta,Actual,2025-11-30 21:19:37,2025-12-01 14:34:30,Primor,-51.66,0.00,EUR,COMPLETADO,1382.86
Cambio,Actual,2025-12-01 20:57:29,2025-12-01 20:57:29,Transfer to Revolut Digital Assets Europe Ltd,-0.12,0.00,EUR,COMPLETADO,1382.74
Cambio,Actual,2025-12-01 21:07:07,2025-12-01 21:07:07,Transfer to Revolut Digital Assets Europe Ltd,-0.04,0.00,EUR,COMPLETADO,1382.70
Cambio,Actual,2025-12-02 07:22:08,2025-12-02 07:22:08,Transfer to Revolut Digital Assets Europe Ltd,-0.80,0.00,EUR,COMPLETADO,1381.90
Pago con tarjeta,Actual,2025-12-01 21:07:06,2025-12-02 12:25:13,Douglas,-62.99,0.00,EUR,COMPLETADO,1318.91
Pago con tarjeta,Actual,2025-12-01 20:57:29,2025-12-02 12:43:36,Singularu,-57.97,0.00,EUR,COMPLETADO,1260.94
Pago con tarjeta,Actual,2025-12-02 07:22:08,2025-12-03 16:04:58,Delikia,-0.80,0.00,EUR,COMPLETADO,1260.14
Cambio,Actual,2025-12-03 21:35:15,2025-12-03 21:35:15,Transfer to Revolut Digital Assets Europe Ltd,-3.12,0.00,EUR,COMPLETADO,1257.02
Pago con tarjeta,Actual,2025-12-03 21:35:15,2025-12-04 17:00:02,Cursor,-17.22,0.00,EUR,COMPLETADO,1239.80
Cambio,Actual,2025-12-06 19:23:11,2025-12-06 19:23:11,Transfer to Revolut Digital Assets Europe Ltd,-0.40,0.00,EUR,COMPLETADO,1239.40
Pago con tarjeta,Actual,2025-12-06 19:23:10,2025-12-07 03:41:58,UNIQLO,-49.90,0.00,EUR,COMPLETADO,1189.50
Cambio,Actual,2025-12-13 07:05:32,2025-12-13 07:05:32,Transfer to Revolut Digital Assets Europe Ltd,-2.40,0.00,EUR,COMPLETADO,1187.10
Pago con tarjeta,Actual,2025-12-13 07:05:31,2025-12-13 12:43:35,EasyPark,-5.40,0.00,EUR,COMPLETADO,1181.70
Cambio,Actual,2025-12-13 19:01:27,2025-12-13 19:01:27,Transfer to Revolut Digital Assets Europe Ltd,-0.20,0.00,EUR,COMPLETADO,1181.50
Cambio,Actual,2025-12-14 05:33:15,2025-12-14 05:33:15,Transfer to Revolut Digital Assets Europe Ltd,-1.68,0.00,EUR,COMPLETADO,1179.82
Cambio,Actual,2025-12-14 14:41:05,2025-12-14 14:41:05,Transfer to Revolut Digital Assets Europe Ltd,-1.00,0.00,EUR,COMPLETADO,1178.82
Pago con tarjeta,Actual,2025-12-13 19:01:26,2025-12-14 14:42:59,Alvaro Moreno,-12.95,0.00,EUR,COMPLETADO,1165.87
Pago con tarjeta,Actual,2025-12-14 05:33:14,2025-12-14 15:02:08,EasyPark,-5.58,0.00,EUR,COMPLETADO,1160.29
Transferir,Actual,2025-12-14 18:50:57,2025-12-14 18:50:58,To Alejandro Martín Iglesias,-400.00,0.00,EUR,COMPLETADO,760.29
Pago con tarjeta,Actual,2025-12-14 14:41:04,2025-12-15 07:04:34,Hogardexter,-11.75,0.00,EUR,COMPLETADO,748.54
Cambio,Actual,2025-12-15 17:46:58,2025-12-15 17:46:58,Transfer to Revolut Digital Assets Europe Ltd,-3.44,0.00,EUR,COMPLETADO,745.10
Pago con tarjeta,Actual,2025-12-16 07:09:25,,Delikia,-0.80,0.00,EUR,REVERTED,
Cambio,Actual,2025-12-16 07:09:26,2025-12-16 07:09:26,Transfer to Revolut Digital Assets Europe Ltd,-0.80,0.00,EUR,COMPLETADO,744.30
Cambio,Actual,2025-12-16 07:10:08,2025-12-16 07:10:08,Transfer to Revolut Digital Assets Europe Ltd,-1.00,0.00,EUR,COMPLETADO,743.30
Pago con tarjeta,Actual,2025-12-15 17:46:58,2025-12-16 15:07:25,Amovens,-46.14,0.00,EUR,COMPLETADO,697.16
Cambio,Actual,2025-12-16 19:01:31,2025-12-16 19:01:31,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,693.16
Pago con tarjeta,Actual,2025-12-16 19:01:30,2025-12-17 07:00:56,BEARBERO EMBAJADORES,-20.00,0.00,EUR,COMPLETADO,673.16
Pago con tarjeta,Actual,2025-12-16 07:10:07,2025-12-17 13:19:32,Delikia,-0.75,0.00,EUR,COMPLETADO,672.41
Cambio,Actual,2025-12-17 18:25:16,2025-12-17 18:25:16,Transfer to Revolut Digital Assets Europe Ltd,-2.00,0.00,EUR,COMPLETADO,670.41
Pago con tarjeta,Actual,2025-12-17 18:25:15,2025-12-18 15:00:46,Hogardexter,-4.50,0.00,EUR,COMPLETADO,665.91
Cambio,Actual,2025-12-18 18:07:01,2025-12-18 18:07:01,Transfer to Revolut Digital Assets Europe Ltd,-2.08,0.00,EUR,COMPLETADO,663.83
Cambio,Actual,2025-12-18 20:40:35,2025-12-18 20:40:35,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,659.83
Pago con tarjeta,Actual,2025-12-18 20:40:33,2025-12-19 14:56:32,Valdebernardo,-10.00,0.00,EUR,COMPLETADO,649.83
Pago con tarjeta,Actual,2025-12-18 18:07:00,2025-12-19 14:57:23,IKEA,-190.48,0.00,EUR,COMPLETADO,459.35
Cajero,Actual,2025-12-19 11:25:14,2025-12-19 17:11:53,Retirada de efectivo en 121002897,-200.00,0.00,EUR,COMPLETADO,259.35
Cambio,Actual,2025-12-20 20:20:41,2025-12-20 20:20:41,Transfer to Revolut Digital Assets Europe Ltd,-1.00,0.00,EUR,COMPLETADO,258.35
Cambio,Actual,2025-12-20 23:25:52,2025-12-20 23:25:52,Transfer to Revolut Digital Assets Europe Ltd,-2.80,0.00,EUR,COMPLETADO,255.55
Cambio,Actual,2025-12-20 23:37:43,2025-12-20 23:37:43,Transfer to Revolut Digital Assets Europe Ltd,-2.72,0.00,EUR,COMPLETADO,252.83
Cambio,Actual,2025-12-21 04:52:22,2025-12-21 04:52:22,Transfer to Revolut Digital Assets Europe Ltd,-3.00,0.00,EUR,COMPLETADO,249.83
Pago con tarjeta,Actual,2025-12-20 20:20:40,2025-12-21 11:09:12,Auchan,-116.75,0.00,EUR,COMPLETADO,133.08
Pago con tarjeta,Actual,2025-12-20 23:25:50,2025-12-21 11:10:15,Pilar Akaneya,-40.30,0.00,EUR,COMPLETADO,92.78
Pago con tarjeta,Actual,2025-12-20 23:37:43,2025-12-21 12:12:18,ElParking,-3.32,0.00,EUR,COMPLETADO,89.46
Pago con tarjeta,Actual,2025-12-21 04:52:21,2025-12-21 12:48:51,EasyPark,-1.25,0.00,EUR,COMPLETADO,88.21
Cambio,Actual,2025-12-21 19:23:54,2025-12-21 19:23:54,Transfer to Revolut Digital Assets Europe Ltd,-3.20,0.00,EUR,COMPLETADO,85.01
Pago con tarjeta,Actual,2025-12-21 19:23:52,2025-12-22 11:43:29,Meson Oro Y Plata,-14.20,0.00,EUR,COMPLETADO,70.81
Cambio,Actual,2025-12-22 21:07:55,2025-12-22 21:07:55,Transfer to Revolut Digital Assets Europe Ltd,-0.16,0.00,EUR,COMPLETADO,70.65
Pago con tarjeta,Actual,2025-12-22 21:07:54,2025-12-23 07:02:44,Pizzerias di Carlo S.L.,-26.96,0.00,EUR,COMPLETADO,43.69
Reembolso de tarjeta,Actual,2025-12-22 10:19:37,2025-12-23 13:03:24,IKEA,116.00,0.00,EUR,COMPLETADO,159.69
Reembolso de tarjeta,Actual,2025-12-22 23:08:46,2025-12-24 09:49:08,Amovens,17.50,0.00,EUR,COMPLETADO,177.19
Cambio,Actual,2025-12-24 11:17:21,2025-12-24 11:17:21,Transfer to Revolut Digital Assets Europe Ltd,-2.40,0.00,EUR,COMPLETADO,174.79
Pago con tarjeta,Actual,2025-12-24 11:17:20,2025-12-27 02:58:00,VIA-T,-11.40,0.00,EUR,COMPLETADO,163.39
Cambio,Actual,2025-12-28 11:37:49,2025-12-28 11:37:49,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,159.39
Cambio,Actual,2025-12-28 12:23:18,2025-12-28 12:23:18,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,157.59
Cambio,Actual,2025-12-28 13:15:47,2025-12-28 13:15:47,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,153.59
Pago con tarjeta,Actual,2025-12-28 13:15:45,2025-12-29 03:28:57,Valdebernardo,-56.54,0.00,EUR,COMPLETADO,97.05
Pago con tarjeta,Actual,2025-12-28 11:37:48,2025-12-29 03:29:43,Gaslowcost,-10.00,0.00,EUR,COMPLETADO,87.05
Recargas,Actual,2025-12-29 17:27:48,2025-12-29 17:27:51,Recarga de *7486,50.00,0.00,EUR,COMPLETADO,137.05
Pago con tarjeta,Actual,2025-12-28 12:23:17,2026-01-01 09:24:11,VIA-T,-12.55,0.00,EUR,COMPLETADO,124.50
Recargas,Actual,2026-01-02 10:20:51,2026-01-02 10:20:53,Una recarga de Apple Pay con *8082,100.00,0.00,EUR,COMPLETADO,224.50
Cambio,Actual,2026-01-02 11:40:42,2026-01-02 11:40:42,Transfer to Revolut Digital Assets Europe Ltd,-0.12,0.00,EUR,COMPLETADO,224.38
Pago con tarjeta,Actual,2026-01-02 11:40:41,2026-01-03 09:38:57,Amazon,-147.97,0.00,EUR,COMPLETADO,76.41
Cambio,Actual,2026-01-03 21:34:54,2026-01-03 21:34:54,Transfer to Revolut Digital Assets Europe Ltd,-3.44,0.00,EUR,COMPLETADO,72.97
Cambio,Actual,2026-01-03 21:43:10,2026-01-03 21:43:10,Transfer to Revolut Digital Assets Europe Ltd,-1.64,0.00,EUR,COMPLETADO,71.33
Cambio,Actual,2026-01-04 06:13:57,2026-01-04 06:13:57,Transfer to Revolut Digital Assets Europe Ltd,-1.60,0.00,EUR,COMPLETADO,69.73
Reembolso de tarjeta,Actual,2026-01-02 19:35:35,2026-01-04 09:53:28,Singularu,19.99,0.00,EUR,COMPLETADO,89.72
Pago con tarjeta,Actual,2026-01-04 06:13:56,2026-01-04 14:45:28,EasyPark,-0.60,0.00,EUR,COMPLETADO,89.12
Pago con tarjeta,Actual,2026-01-03 21:34:54,2026-01-04 15:52:28,Cursor,-17.14,0.17,EUR,COMPLETADO,71.81
Cambio,Actual,2026-01-05 20:32:16,2026-01-05 20:32:16,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,67.81
Cambio,Actual,2026-01-05 20:36:09,2026-01-05 20:36:09,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,63.81
Pago con tarjeta,Actual,2026-01-03 21:43:10,2026-01-06 09:27:00,Amazon,-5.59,0.00,EUR,COMPLETADO,58.22
Pago con tarjeta,Actual,2026-01-05 20:36:09,2026-01-06 14:59:07,Kinepolis,-9.00,0.00,EUR,COMPLETADO,49.22
Pago con tarjeta,Actual,2026-01-05 20:32:15,2026-01-06 15:56:34,Vip District,-2.00,0.00,EUR,COMPLETADO,47.22
Cambio,Actual,2026-01-06 20:26:45,2026-01-06 20:26:45,Transfer to Revolut Digital Assets Europe Ltd,-3.20,0.00,EUR,COMPLETADO,44.02
Cambio,Actual,2026-01-06 20:39:22,2026-01-06 20:39:22,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,42.22
Pago con tarjeta,Actual,2026-01-06 20:39:21,2026-01-07 03:38:42,Kinepolis,-3.55,0.00,EUR,COMPLETADO,38.67
Pago con tarjeta,Actual,2026-01-06 20:26:45,2026-01-07 09:39:42,Burger King,-24.20,0.00,EUR,COMPLETADO,14.47
Recargas,Actual,2026-01-07 13:39:09,2026-01-07 13:39:11,Una recarga de Apple Pay con *8082,300.00,0.00,EUR,COMPLETADO,314.47
Pago con tarjeta,Actual,2026-01-07 13:41:31,,Jysk Dbl Iberia S.l.u.,-165.00,0.00,EUR,REVERTED,
Cambio,Actual,2026-01-07 13:41:31,2026-01-07 13:41:31,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,310.47
Cambio,Actual,2026-01-07 15:48:46,2026-01-07 15:48:46,Transfer to Revolut Digital Assets Europe Ltd,-0.04,0.00,EUR,COMPLETADO,310.43
Cambio,Actual,2026-01-07 17:56:24,2026-01-07 17:56:24,Transfer to Revolut Digital Assets Europe Ltd,-0.16,0.00,EUR,COMPLETADO,310.27
Cambio,Actual,2026-01-07 19:25:38,2026-01-07 19:25:38,Transfer to Revolut Digital Assets Europe Ltd,-1.92,0.00,EUR,COMPLETADO,308.35
Cambio,Actual,2026-01-07 20:22:27,2026-01-07 20:22:27,Transfer to Revolut Digital Assets Europe Ltd,-0.16,0.00,EUR,COMPLETADO,308.19
Pago con tarjeta,Actual,2026-01-07 15:48:45,2026-01-08 09:32:54,Amazon,-11.99,0.00,EUR,COMPLETADO,296.20
Pago con tarjeta,Actual,2026-01-07 20:22:26,2026-01-08 09:52:53,IKEA,-42.96,0.00,EUR,COMPLETADO,253.24
Pago con tarjeta,Actual,2026-01-07 19:25:37,2026-01-08 09:52:53,Leroy Merlin,-26.52,0.00,EUR,COMPLETADO,226.72
Pago con tarjeta,Actual,2026-01-07 17:56:23,2026-01-08 10:15:09,Lidl,-10.96,0.00,EUR,COMPLETADO,215.76
Cambio,Actual,2026-01-09 12:32:54,2026-01-09 12:32:54,Transfer to Revolut Digital Assets Europe Ltd,-0.08,0.00,EUR,COMPLETADO,215.68
Cambio,Actual,2026-01-10 02:09:04,2026-01-10 02:09:04,Transfer to Revolut Digital Assets Europe Ltd,-0.36,0.00,EUR,COMPLETADO,215.32
Pago con tarjeta,Actual,2026-01-10 02:09:04,2026-01-11 10:30:53,Uber,-17.91,0.00,EUR,COMPLETADO,197.41
Cambio,Actual,2026-01-11 18:24:26,2026-01-11 18:24:26,Transfer to Revolut Digital Assets Europe Ltd,-0.40,0.00,EUR,COMPLETADO,197.01
Cambio,Actual,2026-01-11 18:41:01,2026-01-11 18:41:01,Transfer to Revolut Digital Assets Europe Ltd,-0.40,0.00,EUR,COMPLETADO,196.61
Cambio,Actual,2026-01-11 20:43:31,2026-01-11 20:43:31,Transfer to Revolut Digital Assets Europe Ltd,-3.60,0.00,EUR,COMPLETADO,193.01
Pago con tarjeta,Actual,2026-01-11 18:41:00,2026-01-12 03:58:58,UNIQLO,-14.90,0.00,EUR,COMPLETADO,178.11
Pago con tarjeta,Actual,2026-01-11 18:24:26,2026-01-12 03:59:00,UNIQLO,-34.90,0.00,EUR,COMPLETADO,143.21
Pago con tarjeta,Actual,2026-01-11 20:43:30,2026-01-12 10:40:40,El Corte Inglés,-57.10,0.00,EUR,COMPLETADO,86.11
Pago con tarjeta,Actual,2026-01-09 12:32:53,2026-01-12 11:05:41,Amazon,-36.98,0.00,EUR,COMPLETADO,49.13
Cambio,Actual,2026-01-14 15:34:09,2026-01-14 15:34:09,Transfer to Revolut Digital Assets Europe Ltd,-0.48,0.00,EUR,COMPLETADO,48.65
Pago con tarjeta,Actual,2026-01-14 15:34:09,2026-01-15 14:35:02,Cursor,-20.88,0.00,EUR,COMPLETADO,27.77
Recargas,Actual,2026-01-15 21:01:21,2026-01-15 21:01:23,Una recarga de Apple Pay con *8082,100.00,0.00,EUR,COMPLETADO,127.77
Cambio,Actual,2026-01-15 21:03:10,2026-01-15 21:03:10,Transfer to Revolut Digital Assets Europe Ltd,-2.00,0.00,EUR,COMPLETADO,125.77
Pago con tarjeta,Actual,2026-01-15 21:03:10,2026-01-16 12:29:50,DeEventoss,-15.50,0.00,EUR,COMPLETADO,110.27
Cambio,Actual,2026-01-16 21:11:26,2026-01-16 21:11:26,Transfer to Revolut Digital Assets Europe Ltd,-1.24,0.00,EUR,COMPLETADO,109.03
Pago con tarjeta,Actual,2026-01-16 21:11:26,2026-01-18 12:44:35,Uber Eats,-38.69,0.00,EUR,COMPLETADO,70.34
Cambio,Actual,2026-01-19 17:36:40,2026-01-19 17:36:40,Transfer to Revolut Digital Assets Europe Ltd,-2.80,0.00,EUR,COMPLETADO,67.54
Pago con tarjeta,Actual,2026-01-19 17:36:39,2026-01-20 13:09:39,La Vida Verde,-1.30,0.00,EUR,COMPLETADO,66.24
Pago con tarjeta,Actual,2026-01-23 17:50:11,,Sociedad Estatal De Infraestructuras Del Transporte Terrestre (SEITT),-0.95,0.00,EUR,PENDING,
Cambio,Actual,2026-01-23 17:50:12,2026-01-23 17:50:12,Transfer to Revolut Digital Assets Europe Ltd,-0.20,0.00,EUR,COMPLETADO,66.04
Pago con tarjeta,Actual,2026-01-23 18:05:55,,Sociedad Estatal De Infraestructuras Del Transporte Terrestre (SEITT),-1.45,0.00,EUR,PENDING,
Cambio,Actual,2026-01-23 18:05:56,2026-01-23 18:05:56,Transfer to Revolut Digital Assets Europe Ltd,-2.20,0.00,EUR,COMPLETADO,63.84
Pago con tarjeta,Actual,2026-01-23 20:36:33,,Valdebernardo,-43.26,0.00,EUR,PENDING,
